Mother Tongue,Total - Age,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
          Pashto,12465,1395,1245,1205,1175,1175,1025,1000,1020,925,765,575,385,200,140,100,70,30,15,0,0,0
          Persian (Farsi),170050,8320,7090,8130,10805,13750,18070,15380,14010,15790,15385,13665,10480,6935,4675,3100,2240,1340,620,215,30,5
"        Indo-Iranian languages, n.i.e.",5255,275,270,255,280,385,495,540,515,535,415,355,260,230,170,135,70,40,20,15,5,0
      Dravidian languages,159730,9860,8000,8065,8510,9070,12090,14670,15645,16045,15665,12425,8815,6695,4840,4055,2975,1550,600,130,20,0
        Kannada,2725,140,120,85,95,110,270,330,340,285,260,165,135,115,105,85,60,25,5,0,0,0
        Malayalam,16075,975,845,720,585,665,1215,1670,1970,1835,1420,1010,785,670,730,555,270,95,45,10,5,0
        Tamil,131265,8000,6495,6830,7410,7700,9600,11335,12005,12875,13275,10765,7585,5675,3840,3260,2555,1380,535,120,15,0
        Telugu,9320,735,525,415,400,580,990,1300,1290,1015,660,455,285,220,155,150,85,50,15,5,0,0
"        Dravidian languages, n.i.e.",340,10,15,20,10,15,15,30,35,45,40,35,25,15,15,5,5,5,0,0,0,0
      Japanese,39985,1955,1680,1330,1290,1770,2680,3940,5010,4050,2740,1610,1660,2545,2065,1710,1490,1275,770,320,75,15
      Korean,137925,4365,5085,8340,12520,12810,10805,9375,11200,13195,13355,12375,7750,5575,4480,3360,1650,965,510,185,25,5
      Sino-Tibetan languages,1084540,41115,34230,41540,62410,83195,76365,67385,82300,102730,114655,94305,81045,64655,36055,35440,31505,20745,10350,3595,800,110
        Chinese languages,1072555,40395,33515,40695,61400,82195,75370,66260,81135,101540,113755,93605,80530,64290,35800,35260,31360,20650,10305,3580,795,110
          Cantonese,372460,9890,8855,13260,21160,25595,26210,24330,23240,24955,35220,38980,35780,28030,13550,13510,13620,9640,4680,1575,340,40
          Chaochow (Teochow),2580,45,45,115,155,135,145,135,165,195,255,260,230,165,110,125,115,90,60,25,5,0
          Fukien,5925,125,75,100,200,440,495,430,415,480,630,605,555,485,270,205,160,150,65,25,10,0
          Hakka,5115,95,85,110,170,250,290,380,385,400,450,485,475,415,310,285,220,180,70,40,10,0
          Mandarin,248705,13840,11085,11710,17700,24170,20385,16680,24245,32015,29030,15665,10665,6625,4750,4420,3010,1580,770,300,55,5
          Shanghainese,2925,70,55,50,80,130,190,130,195,190,225,210,235,255,200,185,175,180,115,45,5,0
          Taiwanese,9635,130,90,165,400,515,670,755,610,665,865,1010,1070,1005,700,500,290,135,45,20,5,0
"          Chinese, n.o.s.",425210,16205,13225,15185,21530,30965,26990,23420,31875,42645,47080,36395,31525,27310,15905,16030,13770,8695,4490,1555,375,65
        Tibetan languages,4635,230,170,235,380,375,395,560,595,515,380,245,160,120,95,70,70,20,10,5,0,0
        Burmese,2990,90,95,120,150,150,185,245,300,395,305,270,215,150,100,65,45,55,35,5,5,0
"        Sino-Tibetan languages, n.i.e.",4360,395,445,485,475,475,415,320,265,275,230,180,130,95,65,45,35,30,10,5,0,0
      Tai languages,20905,465,430,565,940,1115,1725,2285,2425,2550,2535,2355,1530,815,465,295,195,105,65,25,5,0
        Lao,12970,270,250,305,530,655,960,1250,1215,1455,1695,1735,1180,600,350,215,150,80,55,15,5,0
        Thai,7935,190,180,265,410,465,770,1035,1205,1095,840,620,350,215,120,80,50,25,10,5,0,0
      Austro-Asiatic languages,164325,7085,6935,7515,9445,10115,13100,12895,14245,16170,17090,17505,12300,6785,4130,3240,2565,1935,870,310,70,10
        Khmer (Cambodian),19440,705,510,580,905,1605,2700,1730,1415,1610,1720,2100,1650,850,545,310,235,145,85,25,5,0
        Vietnamese,144880,6380,6425,6935,8545,8510,10410,11165,12830,14560,15370,15400,10650,5935,3575,2925,2330,1790,785,285,65,5
      Malayo-Polynesian languages,381750,7855,9520,15920,18120,18810,28315,40540,42975,44625,43720,35180,23845,19285,12555,9000,5220,3525,1935,650,150,15
        Bisayan languages,16240,265,405,680,825,795,1115,1660,1890,2145,1985,1610,950,715,420,340,205,150,65,15,5,5
        Ilocano,17910,220,310,580,655,765,1115,1870,1935,2020,2300,2000,1190,875,645,545,345,275,185,75,20,0
        Malay,10905,270,265,350,610,985,945,980,1135,1140,1025,875,665,555,455,295,175,110,40,30,0,0
        Pampango,2715,30,45,125,145,130,145,260,290,330,345,255,175,145,120,60,45,40,20,5,0,0
"        Tagalog (Pilipino,Filipino)",327450,6935,8380,13990,15655,15870,24545,35055,36955,38260,37310,29800,20425,16620,10640,7580,4355,2870,1585,505,120,5
        Bikol,1220,10,10,20,50,45,75,120,105,160,135,135,115,70,70,40,20,20,15,5,0,0
        Malagasy,1015,50,45,50,30,60,75,135,185,100,105,65,55,40,15,5,5,5,0,0,0,0
        Fijian,940,20,15,25,30,35,65,80,75,75,110,105,75,75,65,45,20,15,5,0,0,0
        Pangasinan,1035,5,5,15,35,40,35,70,120,130,150,115,80,80,45,40,30,20,10,10,0,5
"        Malayo-Polynesian languages, n.i.e.",2320,55,40,85,90,90,190,305,295,285,255,210,120,105,70,55,25,25,10,5,0,5
      Niger-Congo languages,68325,2615,2390,3200,3980,5495,6670,7975,8145,7945,6850,5570,3340,1985,1000,605,310,150,80,30,5,5
        Akan (Twi),12680,475,405,450,635,930,1360,1115,825,1100,1505,1760,1125,555,250,105,50,25,5,0,0,0
        Bantu languages,31915,1095,1125,1925,2340,3100,3265,3850,3795,3490,2945,2105,1160,725,410,285,165,80,40,10,5,0
          Lingala,3085,80,75,160,205,310,320,335,390,465,355,220,75,50,25,15,10,5,0,0,0,0
          Rundi (Kirundi),3975,130,145,275,315,415,455,515,515,395,340,225,100,50,30,30,15,5,0,0,0,0
          Rwanda (Kinyarwanda),3895,90,110,180,275,450,465,480,430,445,360,280,135,85,45,30,10,10,5,0,0,0
          Shona,2700,70,55,160,205,250,275,405,445,315,205,130,100,40,20,10,10,0,0,0,0,0
          Swahili,10090,515,550,830,925,940,925,1015,990,955,855,595,345,245,160,105,75,45,20,5,0,0
          Ganda,1020,35,35,40,60,90,95,165,130,85,80,85,60,30,15,5,0,5,5,0,0,0
"          Bantu languages, n.i.e.",7150,175,145,270,365,640,720,940,895,830,745,565,335,235,115,90,45,15,10,5,0,0
        Edo,1345,80,50,35,35,70,100,180,220,260,150,75,45,25,20,10,0,0,0,0,0,0
        Igbo,2920,85,80,65,100,95,170,345,460,480,410,255,135,110,65,55,20,5,5,0,0,0
        Wolof,2240,165,120,70,70,225,305,385,365,245,115,80,45,30,10,5,0,0,0,0,0,0
        Bamanankan,885,35,35,40,55,100,130,120,105,105,55,55,30,15,10,5,0,0,0,0,0,0
        Ewe,1315,45,50,40,60,60,105,125,170,180,140,110,85,55,45,25,10,5,0,0,0,0
        Ga,950,10,15,20,40,50,65,85,85,110,110,130,110,65,20,15,10,5,5,0,0,0
"        Niger-Congo languages, n.i.e.",14070,620,520,560,655,860,1165,1775,2110,1975,1425,995,600,410,170,105,60,30,20,10,0,0
"      African languages, n.i.e.",9125,715,680,595,585,670,1025,1065,1095,890,725,465,260,160,90,45,25,20,10,0,0,0
