Mother tongue,Total - Age,  0 to 4 years,  5 to 9 years,  10 to 14 years,  15 to 19 years,  20 to 24 years,  25 to 29 years,  30 to 34 years,  35 to 39 years,  40 to 44 years,  45 to 49 years,  50 to 54 years,  55 to 59 years,  60 to 64 years,  65 to 69 years,  70 to 74 years,  75 to 79 years,  80 to 84 years,  85 to 89 years,  90 to 94 years,  95 to 99 years,  100 years and over
              Urdu,210820,13835,16395,16440,15715,15605,16820,18125,17575,18195,16710,13445,10015,7920,5660,3945,2515,1270,485,115,25,5
            Iranian languages,242805,11560,10940,10860,12790,15740,20780,28085,24580,20540,20675,18735,15700,11800,7985,5255,3280,2090,975,365,80,10
              Kurdish,11700,680,695,685,690,890,1110,1240,1195,1065,1100,1005,580,340,210,100,60,35,15,5,0,0
              Pashto,16905,1705,1585,1410,1415,1500,1635,1545,1335,1270,1055,850,625,445,230,140,85,50,20,10,0,0
              Persian (Farsi),214200,9175,8660,8770,10690,13355,18025,25300,22045,18205,18520,16880,14495,11015,7550,5015,3140,2000,935,345,75,10
"            Indo-Iranian languages, n.i.e.",5185,285,275,270,310,395,490,520,535,475,435,350,260,195,160,90,75,45,10,0,0,0
          Italic (Romance) languages,1154275,28060,30120,31605,37990,45220,56930,74245,90505,99530,109075,107970,97155,79025,77700,58015,54860,42680,23790,8325,1300,165
            Catalan,865,25,30,30,10,40,70,115,90,80,60,60,50,40,35,40,35,25,15,5,0,0
            Italian,375640,1660,2250,2990,4030,5190,6095,7525,11710,20470,32395,40935,41115,34410,41375,31795,36655,30335,17550,6110,940,110
            Portuguese,221540,3945,3600,3770,4685,6945,10755,16020,19520,19905,21715,23225,20825,17505,15520,12525,9670,7015,3285,965,130,25
            Romanian,96665,3675,4570,4095,4055,3890,5275,7145,10345,11555,13685,7095,6560,4785,3385,2260,1765,1295,815,355,60,5
            Spanish,458845,18750,19665,20725,25205,29150,34730,43415,48820,47485,41195,36595,28540,22195,17320,11315,6665,3945,2070,865,170,25
"            Italic (Romance) languages, n.i.e.",720,0,5,0,5,5,10,20,25,25,35,60,70,90,70,80,70,70,50,25,0,0
        Japanese,43640,1850,1990,1615,2125,2185,2450,3615,4410,5085,4065,2670,1515,1575,2465,1905,1475,1260,895,375,120,15
        Kartvelian languages,1715,85,65,55,90,120,170,170,195,190,170,140,95,70,45,15,20,10,15,5,0,0
          Georgian,1715,85,65,55,90,120,170,170,195,190,170,140,95,70,45,15,20,10,15,5,0,0
        Korean,153425,5155,5535,6920,10040,13240,13130,12285,11900,13780,14170,12450,11525,7535,5555,4405,3240,1475,675,300,95,10
        Mongolic languages,1575,85,80,80,140,170,145,135,165,215,160,115,35,10,5,5,15,5,10,10,0,0
          Mongolian,1575,85,80,80,140,170,145,135,165,215,160,115,35,10,5,5,15,5,10,10,0,0
        Niger-Congo languages,91375,3230,3080,3605,5065,6390,7815,9995,11335,10695,9310,7645,5770,3460,2115,1030,480,230,95,30,5,0
          Akan (Twi),13455,390,315,380,485,620,1050,1510,1255,980,1110,1565,1765,1155,530,230,75,35,10,0,0,0
          Bamanankan,1535,50,65,60,105,185,200,215,190,150,120,75,65,35,10,10,5,0,0,0,0,0
          Edo,1675,50,35,35,45,60,85,150,225,305,310,180,95,35,30,10,5,0,0,0,0,0
          Ewe,1760,45,55,70,65,85,100,190,225,225,185,160,130,100,55,35,15,5,5,0,0,0
"          Fulah (Pular, Pulaar, Peul, Fulfulde)",2825,235,125,120,145,275,335,355,340,320,255,130,90,55,30,15,5,5,0,0,0,0
          Ga,925,10,10,15,20,30,60,70,85,85,90,110,115,95,65,35,15,10,0,0,0,0
          Ganda,1295,30,30,45,75,85,110,135,205,150,115,95,80,65,40,15,5,0,5,0,0,0
          Igbo,4235,140,110,90,130,160,240,385,595,670,630,435,265,140,115,65,40,20,5,0,0,0
          Lingala,3810,65,95,145,225,350,380,370,395,455,520,395,225,90,50,30,15,10,5,0,0,0
          Rundi (Kirundi),5850,205,265,390,510,530,555,645,715,705,465,390,230,125,65,35,10,5,0,0,0,0
          Kinyarwanda (Rwanda),5250,100,100,195,360,455,585,665,645,505,535,425,315,150,110,55,25,5,5,5,0,0
          Shona,3185,65,60,75,235,330,275,325,480,485,335,220,135,100,30,20,5,10,0,0,0,0
          Swahili,13375,655,785,950,1345,1360,1270,1205,1200,1130,1080,880,595,345,250,155,85,50,25,15,0,0
          Wolof,3990,290,215,170,150,295,490,690,660,480,270,125,85,45,30,5,0,0,0,0,0,0
          Yoruba,9085,240,285,310,375,420,550,910,1265,1385,1265,895,480,290,250,95,45,15,5,0,0,0
"          Niger-Congo languages, n.i.e.",19135,665,525,555,795,1150,1535,2170,2855,2665,2030,1580,1100,635,455,210,120,65,25,10,5,0
        Nilo-Saharan languages,5870,370,445,435,440,355,420,735,700,690,505,385,215,85,45,25,15,5,5,0,0,0
          Dinka,2115,170,155,130,145,115,185,320,275,235,160,125,55,20,20,5,5,0,0,0,0,0
"          Nilo-Saharan languages, n.i.e.",3750,195,290,305,295,235,240,420,430,455,345,260,160,65,25,20,5,5,0,0,0,0
        Sign languages,7500,620,590,485,565,695,615,620,480,445,455,510,475,365,210,155,110,75,30,10,5,0
          American Sign Language,2680,210,200,165,195,265,220,225,165,165,175,210,170,130,80,50,25,20,5,0,0,0
          Quebec Sign Language,700,25,40,25,50,50,60,65,45,30,35,60,75,50,25,20,15,10,5,0,0,0
"          Sign languages, n.i.e",4125,385,355,295,325,385,335,330,260,245,245,245,235,180,100,80,60,40,10,10,0,0
        Sino-Tibetan languages,1269215,47175,40640,37735,67150,104090,100465,88575,79365,95880,114880,120295,95775,84270,68625,39170,35460,27515,14900,5625,1390,225
          Chinese languages,1253360,46270,39860,36830,66070,102745,98990,87050,77815,94440,113480,119270,94985,83730,68235,38900,35270,27380,14830,5610,1380,225
            Cantonese,565270,15115,12095,12715,22810,32745,35210,35670,34130,35185,39625,53800,58855,55550,45950,21240,20440,18400,10675,4005,925,140
            Hakka,10910,125,145,165,280,365,495,565,680,800,885,975,1060,1130,1010,745,625,420,295,110,40,10
            Mandarin,592040,29435,26240,22450,39140,63320,57995,46025,38550,53170,66420,56825,27950,19960,14415,12045,9895,5315,2025,670,175,25
            Min Dong,1230,35,15,15,15,30,90,120,100,105,70,130,125,150,85,60,45,15,20,5,0,0
